query,portfolio_mode,index,scalar_name,scalar_family,graph_mode,elapsed_s,heap_pops,expanded_nodes,edge_scans,route_found,L,H,avg_pop,avg_width,road_changes,elementary,repeated_vertex_count,feasible,normalized_violation_score
paris_bures,fixed,1,shortest_length,physical_length,full,0.06127589999960037,20179,19116,39000,True,24973.0,337.70000053942204,200.7284267008369,16.52785007808433,66,True,0,False,1.0054
paris_bures,fixed,2,pop_width_reference,hinge,full,0.09620869999343995,17521,16532,33754,True,30157.0,358.9000013694167,212.90343867095532,14.247106807706336,87,True,0,False,0.41099998630583284
paris_bures,fixed,3,hinge_width_strong,hinge,full,0.08910650000325404,16207,15221,31102,True,30818.0,356.0000019222498,188.82662729573624,13.282010513336362,91,True,0,False,0.4399999807775021
paris_bures,fixed,4,hinge_width_very_strong,hinge,full,0.08448179999686545,15455,14496,29613,True,31301.0,366.8000017479062,188.12280757803265,13.339509919810869,89,True,0,False,0.33199998252093793
paris_bures,fixed,5,hinge_pop_strong,hinge,full,0.09716859999753069,17621,16571,33856,True,30031.0,348.70000068843365,215.1658286437348,14.397622456794645,84,True,0,False,0.5129999931156636
paris_bures,fixed,6,hinge_pop_very_strong,hinge,full,0.10513389999687206,18834,17745,36323,True,30372.0,350.50000062584877,218.338864743843,14.835703937837481,88,True,0,False,0.4949999937415123
paris_bures,fixed,7,hinge_balanced_strong,hinge,full,0.08733570000185864,15927,14904,30441,True,30106.0,351.50000078231096,214.53275094665514,14.358101375141167,83,True,0,False,0.4849999921768904
paris_bures,fixed,8,hinge_low_length_pressure,hinge,full,0.08594189999712398,15603,14581,29847,True,30180.0,355.7000011280179,213.67309476474486,14.279489728296886,86,True,0,False,0.442999988719821
paris_bures,fixed,9,hinge_medium_length_pressure,hinge,full,0.09700799999700394,17389,16359,33400,True,30031.0,348.70000068843365,215.1658286437348,14.397622456794645,84,True,0,False,0.5129999931156636
paris_bures,fixed,10,hinge_high_length_pressure,hinge,full,0.09860639999533305,17940,16934,34563,True,26030.0,318.70000087469816,207.47353054168266,15.70553207837111,73,True,0,False,0.8129999912530184
paris_bures,fixed,11,width_linear_mild,width_linear,full,0.11798499999713385,19017,18007,36742,True,25513.0,336.3000006452203,178.33430016070238,14.277623172500293,85,True,0,False,0.8974
paris_bures,fixed,12,width_linear_strong,width_linear,full,0.11129539999819826,18022,17004,34696,True,26755.0,340.9000019878149,187.679835544758,13.620818538590918,91,True,0,False,0.649
paris_bures,fixed,13,pop_complement_mild,pop_complement,full,0.09256319999985863,20368,19301,39319,True,25130.0,346.0000010430813,218.87369677676085,17.974930362116993,63,True,0,False,0.974
paris_bures,fixed,14,pop_complement_strong,pop_complement,full,0.084407000002102,18486,17472,35659,True,25681.0,318.60000072419643,216.5632179432265,15.708889840738289,79,True,0,False,0.8638
paris_bures,fixed,15,low_elevation_mild,low_elevation,full,0.11802760000136914,20253,19187,39152,True,24980.0,329.0000005811453,205.330904723779,17.068454763811047,64,True,0,False,1.004
paris_bures,fixed,16,low_elevation_strong,low_elevation,full,0.11555329999828245,20423,19348,39465,True,24980.0,329.0000005811453,205.330904723779,17.068454763811047,64,True,0,False,1.004
paris_bures,fixed,17,low_elevation_with_width_pop,low_elevation,full,0.1003368000019691,17585,16587,33872,True,30103.0,356.4000009819865,213.89884729096767,14.30721190579012,84,True,0,False,0.4359999901801348
paris_bures,fixed,18,high_elevation_weak_length,high_elevation,full,0.11719069999526255,20027,18985,38723,True,24973.0,337.70000053942204,200.7284267008369,16.52785007808433,66,True,0,False,1.0054
paris_bures,fixed,19,high_elevation_medium_length,high_elevation,full,0.11777310000616126,20039,19005,38764,True,24973.0,337.70000053942204,200.7284267008369,16.52785007808433,66,True,0,False,1.0054
paris_bures,fixed,20,high_elevation_strong_length,high_elevation,full,0.11817850000079488,20096,19048,38855,True,24973.0,337.70000053942204,200.7284267008369,16.52785007808433,66,True,0,False,1.0054
paris_bures,fixed,21,high_elevation_width,high_elevation,full,0.10333710000122664,17999,16991,34659,True,27777.0,358.4000024572015,153.54789934118156,13.777225762321345,87,True,0,False,0.4446
paris_bures,fixed,22,high_elevation_pop,high_elevation,full,0.11736889999883715,20125,19060,38817,True,25130.0,346.0000010430813,218.87369677676085,17.974930362116993,63,True,0,False,0.974
paris_bures,fixed,23,high_elevation_width_pop,high_elevation,full,0.10519819999899482,17772,16769,34232,True,26030.0,318.70000087469816,207.47353054168266,15.70553207837111,73,True,0,False,0.8129999912530184
paris_bures,fixed,24,slope_inverse_beta_5,nonlinear_high_elevation,full,0.11950139999680687,19985,18933,38613,True,24973.0,337.70000053942204,200.7284267008369,16.52785007808433,66,True,0,False,1.0054
paris_bures,fixed,25,slope_inverse_beta_12_width_pop,nonlinear_high_elevation,full,0.10333480000554118,17355,16352,33388,True,30177.0,360.60000132769346,213.04066010537827,14.228717234980284,87,True,0,False,0.39399998672306535
paris_bures,fixed,26,slope_exp_beta_150_width,nonlinear_high_elevation,full,0.107411899996805,18215,16864,34364,True,29768.0,483.3000026717782,142.94423542058587,13.447829884439667,125,True,0,False,0.047038430529427536
paris_bures,fixed,27,slope_exp_beta_250_width_pop_light,nonlinear_high_elevation,full,0.10681040000054054,18117,16777,34204,True,30112.0,459.3000024482608,142.28905419766207,12.763516206163656,128,True,0,False,0.051406305348919545
paris_bures,fixed,28,slope_exp_beta_8,nonlinear_high_elevation,full,0.12125890000606887,19814,18763,38228,True,25025.0,349.600000731647,203.88635364635365,16.691908091908093,65,True,0,False,0.995
paris_bures,fixed,29,slope_exp_beta_400_width_light,nonlinear_high_elevation,full,0.10560759999498259,18149,16678,33970,True,28857.0,411.20000317692757,158.1631493225214,14.747028450635895,97,True,0,False,0.2286
paris_bures,fixed,30,slope_exp_beta_16_width_pop,nonlinear_high_elevation,full,0.10062290000496432,17014,15996,32633,True,30103.0,356.4000009819865,213.89884729096767,14.30721190579012,84,True,0,False,0.4359999901801348
paris_bures,fixed,1,shortest_length,physical_length,certified,0.04747589999897173,15922,15064,30952,True,24973.0,337.70000053942204,200.7284267008369,16.52785007808433,66,True,0,False,1.0054
